#  allMAMErenamed 0.1 > 0.290git
#  =====================================================================
#  All MAME sets renamed, from the first version, in alphabetical order.
#
#
#  © 2026 AntoPISA
#
==================================================================================================================
| mameID  | Old Name                                 | New Name                                 | Renamed In |   |
|   30908 | a78_highscore                            | a78_hiscore                              |      0.186 | D |
|   30937 | a800_sitsa                               | a800_ultracart                           |      0.256 | D |
|   35642 | abc210                                   | acw443                                   |      0.167 | M |
|   38699 | abc_db411223                             | abc_db4112                               |      0.228 | D |
|   30957 | abc_mem                                  | abc_memcard                              |      0.216 | D |
|    7555 | abnudge                                  | abnudgeo                                 |    0.133u2 | M |
|    7558 | abnudgev                                 | abnudge                                  |    0.133u2 | M |
|    2425 | aburner                                  | aburner131                               |      0.289 | M |
|   14210 | ac1sptb                                  | pr_sptb                                  |    0.146u4 | M |
|   43884 | acansound                                | umc6619_sound                            |      0.270 | D |
|   38115 | acchi                                    | patapata                                 |      0.186 | M |
|    6225 | aceattaa                                 | aceattaca                                |    0.133u1 | M |
|    4703 | acedrvrw                                 | acedrive                                 |      0.242 | M |
|   41102 | acorn_vidc10                             | acorn_vidc1                              |      0.238 | D |
|   41103 | acorn_vidc10_lcd                         | acorn_vidc1a                             |      0.238 | D |
|    4738 | acpsx                                    | coh1000a                                 |      0.178 | B |
|    7559 | act2000                                  | act2000o3                                |    0.133u2 | M |
|    7564 | act2000a                                 | act2000o                                 |    0.133u2 | M |
|    7565 | act2000a2                                | act2000o2                                |    0.133u2 | M |
|    7560 | act2000b                                 | act2000b1                                |    0.133u2 | M |
|    7561 | act2000b2                                | act2000bx                                |    0.133u2 | M |
|    7562 | act2000d                                 | act2000d1                                |    0.133u2 | M |
|    7563 | act2000d2                                | act2000dx                                |    0.133u2 | M |
|    7567 | act2000v                                 | act2000v1                                |    0.133u2 | M |
|    7559 | act2000v2                                | act2000                                  |    0.133u2 | M |
|    7568 | act2000v3                                | act2000vx                                |    0.133u2 | M |
|    1314 | actfanc1                                 | actfancr1                                |    0.133u1 | M |
|    1459 | actfancj                                 | actfancrj                                |    0.133u1 | M |
|    2033 | actfancr                                 | actfancr2                                |      0.188 | M |
|    1314 | actfancr                                 | actfanc1                                 |    0.36rc2 | M |
|   48864 | action                                   | actionf2                                 |      0.289 | M |
|   13183 | ad5evol                                  | ad5eyesg                                 |    0.147u4 | M |
|    8720 | adders                                   | v4addlad                                 |    0.143u2 | M |
|   28546 | adillor                                  | adillorj                                 |      0.233 | M |
|   36271 | adonis6                                  | adonisa6                                 |      0.175 | M |
|   35644 | adonise                                  | adonisu                                  |      0.175 | M |
|   36272 | adonishl                                 | adonisce                                 |      0.175 | M |
|   36273 | adustcm                                  | aduskcm                                  |      0.186 | M |
|    7239 | aerofgts                                 | aerofgtst                                |      0.240 | M |
|   36274 | aftrhrs                                  | afterhrs                                 |      0.175 | M |
|   31010 | aga                                      | isa_aga                                  |      0.215 | D |
|   31011 | aga_pc200                                | isa_aga_pc200                            |      0.215 | D |
|    9170 | agsoccer                                 | agsoccera                                |      0.230 | M |
|   31014 | aha1542                                  | aha1542cf                                |      0.208 | D |
|    4182 | ainferno                                 | ainfernou                                |      0.235 | M |
|    6580 | airattca                                 | airattcka                                |    0.133u1 | M |
|    6372 | airbusb                                  | airbustrb                                |    0.133u1 | M |
|    1315 | airbustj                                 | airbustrj                                |    0.133u1 | M |
|    1315 | airbustr                                 | airbustj                                 |       0.61 | M |
|    4185 | aircombu                                 | aircomb                                  |    0.137u1 | M |
|    2063 | airduel                                  | airduelm72                               |      0.167 | M |
|    2063 | airduelm72                               | airdueljm72                              |      0.225 | M |
|    6682 | aladbl                                   | aladmdb                                  |    0.139u3 | M |
|   36275 | alchemya                                 | alchemy                                  |      0.175 | M |
|    1535 | alexkdbl                                 | alexkida                                 |     0.36b3 | M |
|     806 | alexkid1                                 | alexkidd1                                |    0.133u1 | M |
|    1535 | alexkida                                 | alexkidd                                 |       0.92 | M |
