#  allMAMEremoved 0.1 > 0.266
#  ================================================================
#  All sets removed, from the first version, in alphabetical order.
#
#
#  (C) 2024 AntoPISA
#
============================================================================================================================================
| mameID            | Name Set                                   | Added In           | Removed In             |  ReAdded In       | Type  |
|             36106 | cscsp                                      | 0.171              | 0.208                  |                   | M     |
|              1485 | csk227it                                   | 0.36b1             | 0.36rc1                | 0.99u2            | M     |
|              1486 | csk234it                                   | 0.36b1             | 0.36rc1                | 0.99u2            | M     |
|              2687 | cvs                                        | 0.37b12            | 0.122u5                |                   | B     |
|              8107 | cybrlipa                                   | 0.34b2             | 0.34b7                 |                   | M     |
|             37122 | dac_4bit_bw_sm                             | 0.179              | 0.246                  |                   | D     |
|               770 | dakkochn                                   | 0.34b3             | 0.54                   | 0.74u2            | M     |
|              4999 | dblewing                                   | 0.84               | 0.95u6                 | 0.96              | M     |
|             31744 | dcprt                                      | 0.162              | 0.170                  |                   | M     |
|             38518 | ddp3                                       | 0.105u4            | 0.105u5                | 0.140u2           | M     |
|               508 | ddragon2                                   | 0.33b3             | 0.37b15                |                   | M     |
|             10637 | deathsml                                   | 0.142u5            | 0.144                  | 0.153             | M     |
|             29951 | deco_zoomspr                               | 0.292              | 0.237                  |                   | D     |
|             46045 | demonwld4                                  | 0.126u2            | 0.143u7                |                   | M     |
|             29952 | devcb_line_dispatch                        | 0.154              | 0.181                  |                   | D     |
|              3720 | diehard                                    | 0.64               | 0.65                   | 0.74u2            | M     |
|             37222 | dm9334                                     | 0.180              | 0.181                  |                   | D     |
|             31783 | dmg_lcd                                    | 0.162              | 0.179                  |                   | D     |
|             31784 | dms3d2kp                                   | 0.162              | 0.264                  |                   | D     |
|              3721 | dnmtdeka                                   | 0.64               | 0.65                   | 0.74u2            | M     |
|             39762 | dp83932c_be                                | 0.202              | 0.206                  |                   | D     |
|             39763 | dp83932c_le                                | 0.202              | 0.206                  |                   | D     |
|             40815 | dpb_brushproc                              | 0.211              | 0.222                  |                   | D     |
|             40917 | dpb_brushstore                             | 0.212              | 0.222                  |                   | D     |
|             40816 | dpb_combiner                               | 0.211              | 0.222                  |                   | D     |
|             40918 | dpb_framestore                             | 0.212              | 0.222                  |                   | D     |
|             40817 | dpb_storeaddr                              | 0.211              | 0.222                  |                   | D     |
|             45368 | drmn10ma                                   | 0.248              | 0.255                  |                   | M     |
|             45370 | drmn9mb                                    | 0.248              | 0.255                  |                   | M     |
|             37684 | dummy_space                                | 0.184              | 0.232                  |                   | D     |
|             35436 | dvk_ksm01                                  | 0.165              | 0.177                  |                   | M     |
|              4253 | eaglshta                                   | 0.74u2             | 0.100u3                |                   | M     |
|             36356 | eaglst1                                    | 0.173              | 0.175                  |                   | M     |
|             20314 | ec_barx__bv                                | 0.146u5            | 0.148                  |                   | M     |
|             12538 | ec_barx7                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12539 | ec_barxd                                   | 0.143u3            | 0.143u5                |                   | M     |
|             20414 | ec_casbx__c                                | 0.146u5            | 0.148                  |                   | M     |
|             20415 | ec_casbx__d                                | 0.146u5            | 0.148                  |                   | M     |
|             12544 | ec_casrb                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12545 | ec_cool7                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12548 | ec_magbr                                   | 0.143u3            | 0.143u5                |                   | M     |
|             20594 | ec_sbarx__a5                               | 0.146u5            | 0.148                  |                   | M     |
|             20595 | ec_sbarx__a6                               | 0.146u5            | 0.148                  |                   | M     |
|             20596 | ec_sbarx__a7                               | 0.146u5            | 0.148                  |                   | M     |
|             20597 | ec_sbarx__a8                               | 0.146u5            | 0.148                  |                   | M     |
|             20598 | ec_sbarx__a9                               | 0.146u5            | 0.148                  |                   | M     |
|             20626 | ec_sbarx__ba                               | 0.146u5            | 0.148                  |                   | M     |
|             20627 | ec_sbarx__bb                               | 0.146u5            | 0.148                  |                   | M     |
|             20628 | ec_sbarx__bc                               | 0.146u5            | 0.148                  |                   | M     |
|             20629 | ec_sbarx__bd                               | 0.146u5            | 0.148                  |                   | M     |
|             20630 | ec_sbarx__be                               | 0.146u5            | 0.148                  |                   | M     |
|             12562 | ec_spbg7                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12565 | ec_supb7                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12566 | ec_supbx                                   | 0.143u3            | 0.146u5                |                   | M     |
|             12567 | ec_suprb                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12569 | ec_supsl                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12570 | ec_unk2                                    | 0.143u3            | 0.143u4                |                   | M     |
|             12571 | ec_unk3                                    | 0.143u3            | 0.143u4                |                   | M     |
|             12572 | ec_unk4                                    | 0.143u3            | 0.143u4                |                   | M     |
|             31881 | einstei2                                   | 0.162              | 0.192                  |                   | M     |
|             38178 | einstein_adc                               | 0.186              | 0.192                  |                   | D     |
|             38178 | einstein_adc_daisy                         | 0.162              | 0.192                  |                   | M     |
|             38179 | einstein_fire                              | 0.186              | 0.192                  |                   | D     |
|             38179 | einstein_fire_daisy                        | 0.162              | 0.192                  |                   | M     |
|             31883 | einstein_keyboard                          | 0.162              | 0.192                  |                   | D     |
|             39240 | eka_base                                   | 0.196              | 0.203                  |                   | M     |
|             39143 | eka_strt                                   | 0.195              | 0.204                  |                   | M     |
|             39241 | eka_vol1                                   | 0.196              | 0.204                  |                   | M     |
|             39242 | eka_vol2                                   | 0.196              | 0.204                  |                   | M     |
|             10828 | ep_simbg                                   | 0.143u2            | 0.146u5                |                   | M     |
|             45821 | espgal2                                    | 0.142u5            | 0.144                  | 0.153             | M     |
|              6110 | evilngte                                   | 0.104u9            | 0.255                  |                   | M     |
|             41693 | exsprt48a                                  | 0.218              | 0.219                  |                   | M     |
|             37414 | fccpu20                                    | 0.182              | 0.259                  |                   | D     |
|             37505 | fccpu21                                    | 0.183              | 0.259                  |                   | D     |
|             37506 | fccpu21a                                   | 0.183              | 0.259                  |                   | D     |
|             37509 | fccpu21bsbc                                | 0.183              | 0.259                  |                   | M     |
|             37512 | fccpu21ssbc                                | 0.183              | 0.259                  |                   | M     |
|             37514 | fccpu21yasbc                               | 0.183              | 0.259                  |                   | M     |
|             37515 | fccpu21yb                                  | 0.183              | 0.259                  |                   | D     |
|             37227 | fccpu30be16                                | 0.180              | 0.259                  |                   | M     |
|             37230 | fccpu30lite8                               | 0.180              | 0.259                  |                   | M     |
|             37231 | fccpu30senr                                | 0.180              | 0.259                  |                   | M     |
|             37232 | fccpu30senr501                             | 0.180              | 0.259                  |                   | M     |
|             37236 | fccpu30zbe                                 | 0.180              | 0.259                  |                   | M     |
|             37139 | feag2100fr                                 | 0.179              | 0.208                  |                   | M     |
|             37140 | feag2100g                                  | 0.179              | 0.208                  |                   | M     |
|             37141 | feag2100sp                                 | 0.179              | 0.208                  |                   | M     |
|             40337 | feagfr                                     | 0.207              | 0.208                  |                   | M     |
|             40338 | feagg                                      | 0.207              | 0.208                  |                   | M     |
|             40339 | feagsp                                     | 0.207              | 0.208                  |                   | M     |
|             37417 | feagv2a                                    | 0.182              | 0.208                  |                   | M     |
|             37142 | feasbufr                                   | 0.179              | 0.208                  |                   | M     |
|             37143 | feasbug                                    | 0.179              | 0.208                  |                   | M     |
|             37144 | feasbusp                                   | 0.179              | 0.208                  |                   | M     |
|             37145 | feasglafr                                  | 0.179              | 0.208                  |                   | M     |
|             37146 | feasglag                                   | 0.179              | 0.208                  |                   | M     |
|             37147 | feasglasp                                  | 0.179              | 0.208                  |                   | M     |
|             40341 | fepriv                                     | 0.207              | 0.221                  |                   | M     |
|             40342 | feprivfr                                   | 0.207              | 0.208                  |                   | M     |
|             40343 | feprivg                                    | 0.207              | 0.208                  |                   | M     |
|             40344 | feprivsp                                   | 0.207              | 0.208                  |                   | M     |
|             46914 | finalp3j                                   | 0.70u5             | 0.74                   |                   | M     |
|             36372 | flamolus                                   | 0.173              | 0.175                  |                   | M     |
|             36373 | flamoly                                    | 0.173              | 0.175                  |                   | M     |
|             46699 | floppy_525_qd16                            | 0.259              | 0.261                  |                   | D     |
|             32000 | floppy_apple                               | 0.162              | 0.249                  |                   | D     |
|             32001 | floppy_sonny                               | 0.162              | 0.248                  |                   | D     |
|              8738 | fmania                                     | 0.137u4            | 0.141u3                |                   | M     |
|             32013 | fmtownsa                                   | 0.162              | 0.215                  |                   | M     |
|              7082 | forgott1                                   | 0.124u5            | 0.131u3                |                   | M     |
|               821 | formatz                                    | 0.34b4             | 0.54                   | 0.60              | M     |
|             36377 | foxred                                     | 0.173              | 0.175                  |                   | M     |
|             39401 | fpresbufr                                  | 0.198              | 0.208                  |                   | M     |
|             39402 | fpresbug                                   | 0.198              | 0.208                  |                   | M     |
|             39403 | fpresbusp                                  | 0.198              | 0.208                  |                   | M     |
|             39404 | fpresfr                                    | 0.198              | 0.208                  |                   | M     |
|             39405 | fpresg                                     | 0.198              | 0.208                  |                   | M     |
|             39406 | fpressp                                    | 0.198              | 0.208                  |                   | M     |
|               290 | frenzy1                                    | 0.30               | 0.35b5                 |                   | M     |
|             37715 | fscpu32                                    | 0.184              | 0.249                  |                   | D     |
|             32053 | fujitsu_29dl16x                            | 0.162              | 0.222                  |                   | D     |
|             32055 | fujitsu_29f160t                            | 0.162              | 0.222                  |                   | D     |
|             10603 | futari15                                   | 0.142u3            | 0.144                  | 0.153             | M     |
|             16016 | futariblj                                  | 0.143u7            | 0.144                  | 0.153             | M     |
|               291 | futspy                                     | 0.30               | 0.33b7                 | 0.34b1            | M     |
|              1936 | galag88b                                   | 0.36b14            | 0.89                   |                   | M     |
|              1351 | galaga84                                   | 0.35b13            | 0.79u1                 |                   | M     |
|               389 | galagab2                                   | 0.31               | 0.79u1                 |                   | M     |
|               107 | galagabl                                   | 0.21               | 0.33b7                 |                   | M     |
|               608 | galagads                                   | 0.33b7             | 0.79u1                 |                   | M     |
|              1177 | galaxb                                     | 0.35b5             | 0.37b11                |                   | M     |
|               254 | galnamco                                   | 0.5                | 0.35b7                 |                   | M     |
|              6222 | galpania                                   | 0.84u5             | 0.116u4                |                   | M     |
|             32065 | gamate_sound                               | 0.162              | 0.191                  |                   | D     |
|             32067 | gameboy_sound                              | 0.162              | 0.179                  |                   | D     |
|             37718 | gamshara_decrypter                         | 0.184              | 0.254                  |                   | D     |
|               772 | gardia                                     | 0.34b3             | 0.54                   | 0.74u2            | M     |
|              1659 | gardiab                                    | 0.36b4             | 0.54                   | 0.74u2            | M     |
|             32077 | gb_rom_188in1                              | 0.162              | 0.248                  |                   | D     |
|             32078 | gb_rom_atvrac                              | 0.162              | 0.248                  |                   | D     |
|             32080 | gb_rom_digimon                             | 0.162              | 0.250                  |                   | D     |
|             32083 | gb_rom_m161m12                             | 0.162              | 0.175                  |                   | D     |
|             32090 | gb_rom_mbc7                                | 0.162              | 0.248                  |                   | D     |
|             32099 | gb_sm3sp                                   | 0.162              | 0.248                  |                   | D     |
|               657 | gcastle                                    | 0.34b1             | 0.35                   | 0.147u2           | M     |
|             32116 | gen32_41                                   | 0.162              | 0.189                  |                   | M     |
|             32117 | gen32_oc                                   | 0.162              | 0.171                  |                   | M     |
|             32128 | geneve_mouse                               | 0.162              | 0.184                  |                   | D     |
|             39506 | genmod_gate_array                          | 0.199              | 0.218                  |                   | D     |
|             39506 | genmod_mapper                              | 0.199              | 0.218                  |                   | M     |
|              5011 | getrv2                                     | 0.84               | 0.132u4                |                   | M     |
|              5010 | getrv4                                     | 0.84               | 0.132u4                |                   | M     |
|             32135 | gg_ext_port                                | 0.162              | 0.251                  |                   | D     |
|             37719 | gjspace_decrypter                          | 0.184              | 0.254                  |                   | D     |
|             36387 | gldgong2                                   | 0.173              | 0.174                  |                   | M     |
|              3639 | gnbarich                                   | 0.63               | 0.74                   | 0.84u3            | M     |
|              1557 | goldnabl                                   | 0.36b2             | 0.131u3                |                   | M     |
|               609 | goldstar                                   | 0.33b7             | 0.36rc1                | 0.99u2            | M     |
|               926 | goldstbl                                   | 0.34b7             | 0.36rc1                | 0.99u2            | M     |
|              5010 | gt103                                      | 0.84               | 0.132u4                |                   | M     |
