#  allMAMEremoved 0.1 > 0.266
#  ================================================================
#  All sets removed, from the first version, in alphabetical order.
#
#
#  (C) 2024 AntoPISA
#
============================================================================================================================================
| mameID            | Name Set                                   | Added In           | Removed In             |  ReAdded In       | Type  |
|             11958 | m4vegast__v                                | 0.143u2            | 0.245                  |                   | M     |
|             11963 | m4vivasx                                   | 0.143u2            | 0.147u4                |                   | M     |
|             11969 | m4whaton                                   | 0.143u2            | 0.146u5                |                   | M     |
|             10609 | m58819                                     | 0.147              | 0.169                  |                   | D     |
|             12090 | m5fusira                                   | 0.143u2            | 0.146u5                |                   | M     |
|             12263 | m5tictaca                                  | 0.143u2            | 0.146u4                |                   | M     |
|             41467 | m6502_vh2009                               | 0.216              | 0.219                  |                   | D     |
|             41468 | m6502_vt1682                               | 0.216              | 0.219                  |                   | D     |
|             32748 | m6805                                      | 0.162              | 0.212                  |                   | D     |
|             28984 | m6809e                                     | 0.149u1            | 0.194                  |                   | D     |
|             37540 | m68301                                     | 0.183              | 0.208                  |                   | M     |
|             28985 | m68705                                     | 0.149u1            | 0.182                  |                   | D     |
|             37805 | m68k                                       | 0.184              | 0.193                  |                   | D     |
|             37807 | m740                                       | 0.184              | 0.228                  |                   | D     |
|             37808 | m82p                                       | 0.184              | 0.248                  |                   | M     |
|             32760 | mac_sound                                  | 0.162              | 0.179                  |                   | D     |
|              1699 | madmotor                                   | 0.36b5             | 0.36b11                | 0.36b12           | M     |
|             45220 | manxtta                                    | 0.246              | 0.254                  |                   | M     |
|             38213 | marmagicub                                 | 0.186              | 0.193                  |                   | M     |
|             38844 | martmasttw                                 | 0.192              | 0.262                  |                   | M     |
|             37818 | mb88xx                                     | 0.184              | 0.188                  |                   | D     |
|             41289 | mb91101a                                   | 0.215              | 0.220                  |                   | D     |
|             39167 | mc_pg150                                   | 0.195              | 0.238                  |                   | M     |
|             38088 | mc141000                                   | 0.185              | 0.254                  |                   | D     |
|             38089 | mc141200                                   | 0.185              | 0.254                  |                   | D     |
|             32841 | mc2661                                     | 0.162              | 0.220                  |                   | D     |
|             42417 | mcx128                                     | 0.222              | 0.233                  |                   | M     |
|             40501 | megemb                                     | 0.208              | 0.261                  |                   | D     |
|              7988 | meltyb                                     | 0.130u2            | 0.131u1                | 0.136             | M     |
|              7989 | meltybo                                    | 0.130u2            | 0.131u1                | 0.136             | M     |
|             44864 | merlina                                    | 0.242              | 0.247                  |                   | M     |
|             43166 | mexlindo                                   | 0.225              | 0.227                  |                   | M     |
|              8169 | mfish                                      | 0.129u5            | 0.129u6                | 0.139u3           | M     |
|              8283 | mfish_10                                   | 0.129u5            | 0.129u6                | 0.240             | M     |
|              8375 | mfish_11                                   | 0.129u5            | 0.129u6                | 0.133u3           | M     |
|              8548 | mfish_12                                   | 0.129u5            | 0.129u6                | 0.240             | M     |
|              8976 | mfish_13                                   | 0.129u5            | 0.129u6                | 0.240             | M     |
|              7840 | mfish_3                                    | 0.129u5            | 0.129u6                | 0.134u3           | M     |
|              7841 | mfish_4                                    | 0.129u5            | 0.129u6                | 0.240             | M     |
|              7842 | mfish_5                                    | 0.129u5            | 0.129u6                | 0.240             | M     |
|              7843 | mfish_6                                    | 0.129u5            | 0.129u6                | 0.142u3           | M     |
|              7844 | mfish_7                                    | 0.129u5            | 0.129u6                | 0.240             | M     |
|              7845 | mfish_8                                    | 0.129u5            | 0.129u6                | 0.136             | M     |
|              8282 | mfish_9                                    | 0.129u5            | 0.129u6                | 0.240             | M     |
|             40502 | mfleappadus                                | 0.208              | 0.232                  |                   | M     |
|             35261 | mfm_harddisk_leg                           | 0.163              | 0.164                  |                   | D     |
|               313 | mikie                                      | 0.30               | 0.33b7                 |                   | M     |
|              8875 | miniboy7a                                  | 0.116u2            | 0.162                  |                   | M     |
|             26541 | mk6nsw11                                   | 0.147u2            | 0.169                  |                   | M     |
|             32996 | mm50                                       | 0.162              | 0.212                  |                   | M     |
|             32999 | mm5tk                                      | 0.162              | 0.212                  |                   | M     |
|             16250 | mmmbanc                                    | 0.143u7            | 0.144                  | 0.153             | M     |
|             16251 | mmpork                                     | 0.143u7            | 0.144                  | 0.153             | M     |
|             33021 | mos6530_new                                | 0.162              | 0.258                  |                   | D     |
|             44491 | motrshowa                                  | 0.141u1            | 0.236                  |                   | M     |
|                72 | mranger                                    | 0.12               | 0.37b13                | 0.147u2           | M     |
|              6069 | mrdrilrg                                   | 0.104u4            | 0.254                  |                   | M     |
|             33105 | msx_cart_msxdos2                           | 0.162              | 0.252                  |                   | D     |
|             33120 | msx_slot_disk1                             | 0.162              | 0.250                  |                   | D     |
|             33121 | msx_slot_disk2                             | 0.162              | 0.250                  |                   | D     |
|             33122 | msx_slot_disk3                             | 0.162              | 0.250                  |                   | D     |
|             33123 | msx_slot_disk4                             | 0.162              | 0.250                  |                   | D     |
|             33124 | msx_slot_disk5                             | 0.162              | 0.250                  |                   | D     |
|             33125 | msx_slot_disk6                             | 0.162              | 0.250                  |                   | D     |
|             10612 | mushisam                                   | 0.142u3            | 0.144                  | 0.153             | M     |
|             12290 | mushisama                                  | 0.143u2            | 0.144                  | 0.153             | M     |
|             10613 | mushitam                                   | 0.142u3            | 0.144                  | 0.153             | M     |
|             37435 | mvme350                                    | 0.182              | 0.259                  |                   | D     |
|             43264 | n2a03_core_swap_op_d5_d6                   | 0.226              | 0.248                  |                   | D     |
|             45855 | nabu_hle_keyboard                          | 0.252              | 0.255                  |                   | D     |
|             33198 | nc150                                      | 0.162              | 0.253                  |                   | D     |
|              1418 | nebulbee                                   | 0.35rc1            | 0.79u1                 | 0.186             | M     |
|             30060 | neogeo_banked_cart                         | 0.154              | 0.174                  |                   | D     |
|             33301 | nes_bmc_110in1                             | 0.162              | 0.235                  |                   | D     |
|             33328 | nes_bmc_gb63                               | 0.162              | 0.236                  |                   | D     |
|             33329 | nes_bmc_gc6in1                             | 0.162              | 0.236                  |                   | D     |
|             33332 | nes_bmc_gold150                            | 0.162              | 0.243                  |                   | D     |
|             33338 | nes_bmc_mario7in1                          | 0.162              | 0.244                  |                   | D     |
|             33341 | nes_bmc_super22                            | 0.162              | 0.236                  |                   | D     |
|             40091 | nes_ddr                                    | 0.205              | 0.219                  |                   | D     |
|             33397 | nes_hosenkan                               | 0.162              | 0.236                  |                   | D     |
|             33457 | nes_novel1                                 | 0.162              | 0.236                  |                   | D     |
|             33458 | nes_novel2                                 | 0.162              | 0.236                  |                   | D     |
|             44226 | nes_ntdec_2746                             | 0.236              | 0.239                  |                   | D     |
|             44156 | nes_resettxrom0                            | 0.235              | 0.237                  |                   | D     |
|             44157 | nes_resettxrom1                            | 0.235              | 0.237                  |                   | D     |
|             44158 | nes_resettxrom2                            | 0.235              | 0.237                  |                   | D     |
|             33502 | nes_sorom_a                                | 0.162              | 0.236                  |                   | D     |
|             33515 | nes_sxrom_a                                | 0.162              | 0.236                  |                   | D     |
|             33524 | nes_tengen008                              | 0.162              | 0.243                  |                   | D     |
|             33540 | nes_unl_bb                                 | 0.162              | 0.234                  |                   | D     |
|             42251 | nes_vt_soc_4k_hh                           | 0.221              | 0.226                  |                   | D     |
|             42253 | nes_vt_soc_8k_fa                           | 0.221              | 0.226                  |                   | D     |
|             33573 | nes_whero                                  | 0.162              | 0.237                  |                   | D     |
|             33574 | nes_whirl2706                              | 0.162              | 0.234                  |                   | D     |
|             37371 | netlist_rom_region                         | 0.181              | 0.183                  |                   | D     |
|             33585 | newbraineim                                | 0.162              | 0.172                  |                   | M     |
|             33587 | newport_video                              | 0.162              | 0.210                  |                   | D     |
|             37859 | nflclsfg_decrypter                         | 0.184              | 0.254                  |                   | D     |
|             30063 | ngbootleg_prot                             | 0.154              | 0.174                  |                   | D     |
|             33619 | nms8220a                                   | 0.162              | 0.250                  |                   | M     |
|             33623 | nms8250f                                   | 0.162              | 0.250                  |                   | M     |
|             33624 | nms8250j                                   | 0.162              | 0.250                  |                   | M     |
|             38109 | npresto                                    | 0.185              | 0.222                  |                   | M     |
|             44277 | nrallyv                                    | 0.62               | 0.78u1                 |                   | M     |
|             33648 | o2_rom12                                   | 0.162              | 0.224                  |                   | D     |
|             33649 | o2_rom16                                   | 0.162              | 0.224                  |                   | D     |
|              1292 | offroad                                    | 0.35b11            | 0.35b12                | 0.37b3            | M     |
|             33689 | osborne1_daisy                             | 0.162              | 0.168                  |                   | D     |
|             36497 | outbackja                                  | 0.173              | 0.175                  |                   | M     |
|               115 | pacplus                                    | 0.22               | 0.34b2                 |                   | M     |
|             33725 | pc_fdc_at                                  | 0.162              | 0.221                  |                   | D     |
|             33730 | pc_kbdc_slot                               | 0.162              | 0.227                  |                   | D     |
|             33780 | pc8401a                                    | 0.162              | 0.262                  |                   | M     |
|             33818 | pce_cdsys3                                 | 0.162              | 0.262                  |                   | D     |
|             36505 | pcfav                                      | 0.173              | 0.175                  |                   | M     |
|             46718 | pcimga                                     | 0.259              | 0.262                  |                   | M     |
|             46403 | pcinv3                                     | 0.256              | 0.262                  |                   | M     |
|             43857 | pcnfrk10ma                                 | 0.232              | 0.255                  |                   | M     |
|             43861 | pcnfrk9ma                                  | 0.232              | 0.255                  |                   | M     |
|             36518 | pelpetu2                                   | 0.173              | 0.174                  |                   | M     |
|               162 | pengopop                                   | 0.26               | 0.27                   |                   | M     |
|             33872 | peribox_998                                | 0.162              | 0.186                  |                   | D     |
|             29431 | pexmp003a                                  | 0.151              | 0.152                  |                   | M     |
|             29432 | pexmp003b                                  | 0.151              | 0.152                  |                   | M     |
|              6955 | pexmp006                                   | 0.122u6            | 0.152                  |                   | M     |
|             29433 | pexmp006b                                  | 0.151              | 0.152                  |                   | M     |
|             29514 | pexmp017a                                  | 0.152              | 0.240                  |                   | M     |
|              7702 | pexmp024                                   | 0.129u4            | 0.152                  |                   | M     |
|             33903 | pexmp030a                                  | 0.162              | 0.179                  |                   | M     |
|             18599 | pinkswts                                   | 0.143u8            | 0.144                  | 0.153             | M     |
|             18600 | pinkswtsa                                  | 0.143u8            | 0.144                  | 0.153             | M     |
|             18601 | pinkswtsb                                  | 0.143u8            | 0.144                  | 0.153             | M     |
|              9833 | pipibibi                                   | 0.141u1            | 0.36rc2                | 0.37b6            | M     |
|              9833 | pipibibsbl                                 | 0.141u1            | 0.36rc2                | 0.37b6            | M     |
|              2019 | poleps2c                                   | 0.36rc1            | 0.79u1                 |                   | M     |
|              1875 | pong                                       | 0.146u1            | 0.245                  |                   | M     |
|              1875 | pong                                       | 0.36b10            | 0.36rc1                | 0.146u1           | M     |
|             46007 | pontoon                                    | 0.35b6             | 0.36rc1                | 0.99u2            | M     |
|               425 | pool                                       | 0.31               | 0.33b7                 |                   | M     |
|              9857 | poolchama                                  | 0.141u1            | 0.205                  |                   | M     |
|             44419 | popn1                                      | 0.113u2            | 0.114                  | 0.156             | M     |
|              6540 | popn1a                                     | 0.113u2            | 0.114                  | 0.156             | M     |
|              6541 | popn2                                      | 0.113u2            | 0.114                  | 0.133u2           | M     |
|              6542 | popn3                                      | 0.113u2            | 0.114                  | 0.158             | M     |
|              6543 | popnstage                                  | 0.113u2            | 0.114                  | 0.178             | M     |
|              6543 | popnstex                                   | 0.113u2            | 0.114                  | 0.178             | M     |
|              5963 | powernjb                                   | 0.103              | 0.117u3                |                   | M     |
|             45950 | psion_asic5_peripheral                     | 0.253              | 0.255                  |                   | D     |
|             29775 | puzzlet_io                                 | 0.153              | 0.225                  |                   | D     |
|              6694 | raflsiau                                   | 0.56               | 0.66                   |                   | M     |
|              6697 | redeartn                                   | 0.116u4            | 0.141u2                |                   | M     |
|               688 | ridhero                                    | 0.34b1             | 0.37b9                 |                   | M     |
|             34127 | riot6532                                   | 0.162              | 0.258                  |                   | D     |
|              4779 | roboarmya                                  | 0.79               | 0.124u1                | 0.182             | M     |
|               328 | ropeman                                    | 0.30               | 0.36b10                | 0.141u4           | M     |
|             36775 | rpatrola                                   | 0.175              | 0.202                  |                   | M     |
|             39998 | rrd45                                      | 0.204              | 0.206                  |                   | D     |
|              6933 | rtypeb                                     | 0.36b6             | 0.37b1                 |                   | M     |
|             34175 | s3virge                                    | 0.162              | 0.264                  |                   | D     |
|             34176 | s3virgedx                                  | 0.162              | 0.264                  |                   | D     |
|             36969 | sag_bb4                                    | 0.177              | 0.221                  |                   | M     |
|             36970 | sag_pb                                     | 0.177              | 0.221                  |                   | M     |
|             36971 | sag_si2                                    | 0.177              | 0.221                  |                   | M     |
|             13410 | sc_unsrt                                   | 0.143u4            | 0.146u5                |                   | M     |
|             34213 | sc1                                        | 0.162              | 0.208                  |                   | M     |
|             12890 | sc1bee                                     | 0.143u3            | 0.143u4                |                   | M     |
|             18869 | sc1cexplc                                  | 0.145u4            | 0.147u4                |                   | M     |
|             18871 | sc1chaina                                  | 0.145u4            | 0.147u4                |                   | M     |
|             18886 | sc1clbwb                                   | 0.145u4            | 0.147u4                |                   | M     |
|             18893 | sc1csclb                                   | 0.145u4            | 0.147u4                |                   | M     |
|             18894 | sc1csclc                                   | 0.145u4            | 0.147u4                |                   | M     |
|             12941 | sc1dyncl                                   | 0.143u3            | 0.144                  |                   | M     |
|             12943 | sc1esc                                     | 0.143u3            | 0.143u4                |                   | M     |
|             18913 | sc1pwrla                                   | 0.145u4            | 0.147u4                |                   | M     |
|             18925 | sc1winstb                                  | 0.145u4            | 0.147u4                |                   | M     |
|             18926 | sc1winstbp                                 | 0.145u4            | 0.147u4                |                   | M     |
|             18927 | sc1winstc                                  | 0.145u4            | 0.147u4                |                   | M     |
|             18928 | sc1winstcp                                 | 0.145u4            | 0.147u4                |                   | M     |
|             18929 | sc1winstd                                  | 0.145u4            | 0.147u4                |                   | M     |
|             18930 | sc1winstdp                                 | 0.145u4            | 0.147u4                |                   | M     |
|             18931 | sc1winste                                  | 0.145u4            | 0.147u4                |                   | M     |
|             18932 | sc1winstep                                 | 0.145u4            | 0.147u4                |                   | M     |
|             18933 | sc1winstf                                  | 0.145u4            | 0.147u4                |                   | M     |
|             18934 | sc1winstfp                                 | 0.145u4            | 0.147u4                |                   | M     |
|             18935 | sc1winstg                                  | 0.145u4            | 0.147u4                |                   | M     |
|             19007 | sc2catms4                                  | 0.145u5            | 0.146u5                |                   | M     |
|             19050 | sc2cops1                                   | 0.145u5            | 0.146u5                |                   | M     |
|             19167 | sc2gcclb3                                  | 0.145u5            | 0.147u4                |                   | M     |
|             19186 | sc2gslam2                                  | 0.145u5            | 0.147u4                |                   | M     |
|             19248 | sc2motd7p                                  | 0.145u5            | 0.147u4                |                   | M     |
|             19249 | sc2motd8                                   | 0.145u5            | 0.147u4                |                   | M     |
|             16370 | sc4bugsd                                   | 0.143u7            | 0.144                  |                   | M     |
|             14304 | sc4cfg                                     | 0.143u6            | 0.144                  |                   | M     |
|             16519 | sc4cfga                                    | 0.143u7            | 0.144                  |                   | M     |
|             16520 | sc4cfgb                                    | 0.143u7            | 0.144                  |                   | M     |
|             16521 | sc4cfgc                                    | 0.143u7            | 0.144                  |                   | M     |
|             16831 | sc4fccd                                    | 0.143u7            | 0.144                  |                   | M     |
|             17264 | sc4miljoa                                  | 0.143u7            | 0.144                  |                   | M     |
|             17292 | sc4monobn                                  | 0.143u7            | 0.144                  |                   | M     |
|             14946 | sc4mwwcl                                   | 0.143u6            | 0.144                  |                   | M     |
|             15054 | sc4pptp                                    | 0.143u6            | 0.143u7                |                   | M     |
|             15065 | sc4redal                                   | 0.143u6            | 0.143u7                |                   | M     |
|             15364 | sc5dndbeo                                  | 0.143u6            | 0.144                  |                   | M     |
|             15365 | sc5dndbep                                  | 0.143u6            | 0.144                  |                   | M     |
|             15918 | sc5u6606                                   | 0.143u6            | 0.143u7                |                   | M     |
|             15919 | sc5u7606                                   | 0.143u6            | 0.143u7                |                   | M     |
|             37948 | sega_315_spat                              | 0.184              | 0.253                  |                   | D     |
|              3685 | sengoku3                                   | 0.63               | 0.74                   | 0.84u5            | M     |
|             29066 | serflash                                   | 0.149u1            | 0.261                  |                   | D     |
|             37965 | sfrusha                                    | 0.184              | 0.248                  |                   | M     |
|              2752 | sftm                                       | 0.37b12            | 0.37b15                | 0.37b16           | M     |
|              1471 | sfzch                                      | 0.35               | 0.36rc1                | 0.144u3           | M     |
|             47305 | sh_adc                                     | 0.264              | 0.266                  |                   | D     |
|             34313 | sharp_unk128mbit                           | 0.162              | 0.210                  |                   | D     |
|              1519 | shinobl                                    | 0.36b1             | 0.119u3                |                   | M     |
|              6267 | shtngmst                                   | 0.35b10            | 0.54                   | 0.74u2            | M     |
|              1257 | shtngmst                                   | 0.74u2             | 0.227                  |                   | M     |
|             10610 | shtngmstu                                  | 0.121u2            | 0.132u2                |                   | M     |
|             41955 | sirio2a                                    | 0.219              | 0.223                  |                   | M     |
|             40531 | slc1a                                      | 0.208              | 0.232                  |                   | M     |
|             35313 | smc92x4                                    | 0.163              | 0.164                  |                   | D     |
|             34329 | sms_ctrl_adaptor                           | 0.162              | 0.251                  |                   | D     |
|             40860 | sn74s381                                   | 0.211              | 0.222                  |                   | D     |
|              3743 | snowbro3                                   | 0.64               | 0.74                   | 0.90u4            | M     |
|             44278 | spdbuggy                                   | 0.74u2             | 0.94u2                 |                   | M     |
|             38261 | srarb                                      | 0.186              | 0.192                  |                   | D     |
|             43282 | sspirtf                                    | 0.89u1             | 0.94u4                 |                   | M     |
|             36588 | stardrf2                                   | 0.173              | 0.174                  |                   | M     |
|             41508 | starfield_05xx_stars                       | 0.216              | 0.222                  |                   | D     |
|               448 | starfire                                   | 0.31               | 0.33b7                 | 0.35b3            | M     |
|               143 | starforc                                   | 0.25               | 0.30                   |                   | M     |
|             37984 | startrgn_decrypter                         | 0.184              | 0.254                  |                   | D     |
|               449 | stratgyb                                   | 0.31               | 0.36b8                 |                   | M     |
|              1304 | stratvxb                                   | 0.35b11            | 0.53                   |                   | M     |
|                 0 | strider2                                   | 0.78               | 0.79                   |                   | M     |
|             37584 | super19                                    | 0.183              | 0.258                  |                   | M     |
|             36793 | super9ccfr                                 | 0.175              | 0.208                  |                   | M     |
|             36794 | super9ccg                                  | 0.175              | 0.208                  |                   | M     |
|             36795 | super9ccsp                                 | 0.175              | 0.208                  |                   | M     |
|             41344 | suprmriobl3                                | 0.215              | 0.226                  |                   | M     |
|             34530 | sv328n80                                   | 0.162              | 0.172                  |                   | M     |
|             34531 | sv328p80                                   | 0.162              | 0.172                  |                   | M     |
|              6027 | svcpcbj                                    | 0.103u3            | 0.103u5                |                   | M     |
|             34537 | svi603                                     | 0.162              | 0.172                  |                   | M     |
|             34551 | swiml                                      | 0.162              | 0.230                  |                   | D     |
|             29850 | taito8741_4pack                            | 0.153              | 0.205                  |                   | D     |
|              8002 | takoron                                    | 0.130u2            | 0.131u1                | 0.136             | M     |
|             37586 | tbaskb                                     | 0.183              | 0.230                  |                   | M     |
|             40870 | tdc1008                                    | 0.211              | 0.222                  |                   | D     |
|              5587 | tekkena                                    | 0.94u4             | 0.142u2                |                   | M     |
|              7064 | tenup3                                     | 0.124u1            | 0.164                  |                   | M     |
|              5768 | tgm2                                       | 0.99u4             | 0.99u5                 | 0.129             | M     |
|              4435 | tgmj                                       | 0.74u2             | 0.82u2                 | 0.83              | M     |
|             38386 | ti_hexbus_chain                            | 0.187              | 0.188                  |                   | D     |
|             38387 | ti_hexbus_slot                             | 0.187              | 0.188                  |                   | D     |
|             34622 | ti_sound_sn76496                           | 0.162              | 0.173                  |                   | D     |
|             34623 | ti_sound_sn94624                           | 0.162              | 0.173                  |                   | D     |
|             34654 | ti99_4qe                                   | 0.162              | 0.174                  |                   | M     |
|             34659 | ti99_bwg_leg                               | 0.162              | 0.163                  |                   | D     |
|             34663 | ti99_fdc_leg                               | 0.162              | 0.163                  |                   | D     |
|             34665 | ti99_grom                                  | 0.162              | 0.173                  |                   | D     |
|             34668 | ti99_hfdc_new                              | 0.162              | 0.164                  |                   | D     |
|             34684 | ti99_video                                 | 0.162              | 0.173                  |                   | D     |
|             35470 | ti998_speech                               | 0.165              | 0.173                  |                   | D     |
|             29098 | tia_video                                  | 0.149u1            | 0.150                  |                   | D     |
|             40875 | tmc208k                                    | 0.211              | 0.222                  |                   | D     |
|             40876 | tmc28ku                                    | 0.211              | 0.222                  |                   | D     |
|             29263 | tms9995l                                   | 0.150              | 0.151                  |                   | D     |
|             34767 | to7_io_line                                | 0.162              | 0.251                  |                   | D     |
|              4900 | topracra                                   | 0.87u4             | 0.135u1                |                   | M     |
|             35964 | torchh21                                   | 0.169              | 0.218                  |                   | M     |
|              7964 | trgheart                                   | 0.130u1            | 0.131u1                | 0.135u1           | M     |
|              5736 | trvwhzha                                   | 0.99u1             | 0.148                  |                   | M     |
|              6738 | trvwzva                                    | 0.104              | 0.148                  |                   | M     |
|             38884 | tti                                        | 0.192              | 0.222                  |                   | D     |
|             37329 | ttl74160                                   | 0.180              | 0.181                  | 0.221             | D     |
|             37330 | ttl74175                                   | 0.180              | 0.181                  |                   | D     |
|             36039 | tv1943                                     | 0.170              | 0.173                  |                   | M     |
|             29863 | tvablast                                   | 0.153              | 0.173                  |                   | M     |
|             36040 | tvaburn                                    | 0.170              | 0.173                  |                   | M     |
|             36041 | tvarmedf                                   | 0.170              | 0.173                  |                   | M     |
|             36042 | tvbalstx                                   | 0.170              | 0.173                  |                   | M     |
|             36043 | tvbeball                                   | 0.170              | 0.173                  |                   | M     |
|             36044 | tvbomber                                   | 0.170              | 0.173                  |                   | M     |
|             36045 | tvbrabho                                   | 0.170              | 0.173                  |                   | M     |
|             29864 | tvcolumn                                   | 0.153              | 0.173                  |                   | M     |
|             36046 | tvcoryon                                   | 0.170              | 0.173                  |                   | M     |
|             36047 | tvdensho                                   | 0.170              | 0.173                  |                   | M     |
|             36048 | tvdevilc                                   | 0.170              | 0.173                  |                   | M     |
|             36049 | tvdmoon                                    | 0.170              | 0.173                  |                   | M     |
|             36050 | tvdodgeb                                   | 0.170              | 0.173                  |                   | M     |
|             36051 | tvdormon                                   | 0.170              | 0.173                  |                   | M     |
|             36052 | tvdrgnst                                   | 0.170              | 0.173                  |                   | M     |
|             36053 | tvdsenpu                                   | 0.170              | 0.173                  |                   | M     |
|             18733 | tvdunexp                                   | 0.145              | 0.173                  |                   | M     |
|             36054 | tveigues                                   | 0.170              | 0.173                  |                   | M     |
|             36055 | tvfblast                                   | 0.170              | 0.173                  |                   | M     |
|             29865 | tvflaptw                                   | 0.153              | 0.173                  |                   | M     |
|             29866 | tvfsoc90                                   | 0.153              | 0.173                  |                   | M     |
|             36056 | tvftenis                                   | 0.170              | 0.173                  |                   | M     |
|             29867 | tvgomola                                   | 0.153              | 0.173                  |                   | M     |
|             36057 | tvgunhed                                   | 0.170              | 0.173                  |                   | M     |
|             36058 | tvhtdaka                                   | 0.170              | 0.173                  |                   | M     |
|             29868 | tvjchan                                    | 0.153              | 0.173                  |                   | M     |
|             36059 | tvkaikai                                   | 0.170              | 0.173                  |                   | M     |
|             19564 | tvlegaxe                                   | 0.145u8            | 0.173                  |                   | M     |
|             36060 | tvlqkids                                   | 0.170              | 0.173                  |                   | M     |
|             36061 | tvmrheli                                   | 0.170              | 0.173                  |                   | M     |
|             36062 | tvninjar                                   | 0.170              | 0.173                  |                   | M     |
|             36063 | tvninjas                                   | 0.170              | 0.173                  |                   | M     |
|             36064 | tvopwolf                                   | 0.170              | 0.173                  |                   | M     |
|             36065 | tvovride                                   | 0.170              | 0.173                  |                   | M     |
|             36066 | tvpaclnd                                   | 0.170              | 0.173                  |                   | M     |
|             29869 | tvpcgen2                                   | 0.153              | 0.173                  |                   | M     |
|             36067 | tvpchasr                                   | 0.170              | 0.173                  |                   | M     |
|             36068 | tvpcybrg                                   | 0.170              | 0.173                  |                   | M     |
|             36069 | tvpdrift                                   | 0.170              | 0.173                  |                   | M     |
|             29871 | tvpow11                                    | 0.153              | 0.173                  |                   | M     |
|             36070 | tvpros91                                   | 0.170              | 0.173                  |                   | M     |
|             18655 | tvpwlg4                                    | 0.144u5            | 0.173                  |                   | M     |
|             36071 | tvpzlboy                                   | 0.170              | 0.173                  |                   | M     |
|             36072 | tvraiden                                   | 0.170              | 0.173                  |                   | M     |
|             18656 | tvrs2                                      | 0.144u5            | 0.173                  |                   | M     |
|             36073 | tvrtype2                                   | 0.170              | 0.173                  |                   | M     |
|             18657 | tvsci                                      | 0.144u5            | 0.173                  |                   | M     |
|             36074 | tvsdarms                                   | 0.170              | 0.173                  |                   | M     |
|             36075 | tvshnobi                                   | 0.170              | 0.173                  |                   | M     |
|             36076 | tvskweek                                   | 0.170              | 0.173                  |                   | M     |
|             36077 | tvslmndr                                   | 0.170              | 0.173                  |                   | M     |
|             36078 | tvsson2                                    | 0.170              | 0.173                  |                   | M     |
|             29872 | tvsssold                                   | 0.153              | 0.173                  |                   | M     |
|             19565 | tvsvball                                   | 0.145u8            | 0.173                  |                   | M     |
|             36079 | tvtaisen                                   | 0.170              | 0.173                  |                   | M     |
|             36080 | tvtcrst2                                   | 0.170              | 0.173                  |                   | M     |
|             18658 | tvthbld                                    | 0.144u5            | 0.173                  |                   | M     |
|             36081 | tvtonma                                    | 0.170              | 0.173                  |                   | M     |
|             36082 | tvtsboys                                   | 0.170              | 0.173                  |                   | M     |
|             36083 | tvtsujin                                   | 0.170              | 0.173                  |                   | M     |
|             18659 | tvusapb                                    | 0.144u5            | 0.173                  |                   | M     |
|             29873 | tvvolfd                                    | 0.153              | 0.173                  |                   | M     |
|             36084 | tvwnshot                                   | 0.170              | 0.173                  |                   | M     |
|             36085 | tvwring                                    | 0.170              | 0.173                  |                   | M     |
|             36086 | tvxvious                                   | 0.170              | 0.173                  |                   | M     |
|             29116 | u8106                                      | 0.149u1            | 0.225                  |                   | D     |
|               797 | ufosensi                                   | 0.34b3             | 0.54                   | 0.74u2            | M     |
|             38277 | ultra19                                    | 0.186              | 0.258                  |                   | M     |
|             29118 | upd4990a_old                               | 0.149u1            | 0.151                  |                   | D     |
|             38034 | upd7201_new                                | 0.184              | 0.220                  |                   | D     |
|             36173 | uvcfr                                      | 0.171              | 0.208                  |                   | M     |
|             36174 | uvcg                                       | 0.171              | 0.208                  |                   | M     |
|             36175 | uvcsp                                      | 0.171              | 0.208                  |                   | M     |
|             34877 | v9938_video                                | 0.162              | 0.173                  |                   | D     |
|              1249 | vanvanb                                    | 0.35b9             | 0.36rc1                |                   | M     |
|              3951 | vasara2                                    | 0.68               | 0.74                   | 0.84u3            | M     |
|              3952 | vasara2a                                   | 0.68               | 0.74                   | 0.84u3            | M     |
|             36087 | vccfr                                      | 0.170              | 0.208                  |                   | M     |
|             36088 | vccg                                       | 0.170              | 0.208                  |                   | M     |
|             36089 | vccsp                                      | 0.170              | 0.208                  |                   | M     |
|             34905 | vcs_4k                                     | 0.162              | 0.246                  |                   | D     |
|             34952 | vg8230j                                    | 0.162              | 0.250                  |                   | M     |
|             37190 | volt_reg                                   | 0.179              | 0.226                  |                   | D     |
|             18957 | votrax                                     | 0.145u4            | 0.145u6                | 0.155             | D     |
|              8050 | vs42006                                    | 0.131              | 0.131u1                | 0.138u4           | M     |
|             36176 | vscfr                                      | 0.171              | 0.208                  |                   | M     |
|             36177 | vscg                                       | 0.171              | 0.208                  |                   | M     |
|             36178 | vscsp                                      | 0.171              | 0.208                  |                   | M     |
|             35015 | vsmilef                                    | 0.162              | 0.218                  |                   | M     |
|             38395 | vsmileg                                    | 0.187              | 0.218                  |                   | M     |
|             37602 | watz19                                     | 0.183              | 0.258                  |                   | M     |
|              8852 | wb35a                                      | 0.138u4            | 0.149u1                |                   | M     |
|             35061 | wd1770_l                                   | 0.162              | 0.163                  |                   | D     |
|             35063 | wd1772_l                                   | 0.162              | 0.163                  |                   | D     |
|             35067 | wd2797_l                                   | 0.162              | 0.163                  |                   | D     |
