MAMEIDs 0.289 (July 31, 2026)
===============================================================================================================================================================================================================================
'mameID' it is an unequivocally identifies each machine/bios/device added to the MAME with a simple number ====================================================================================================================
===============================================================================================================================================================================================================================
|mameID | SET                             | DESCRIPTION                                                                                                                                                            |   TYPE   |
| 13219 | c3_ppays                        | The Phrase That Pays (Bellfruit) (Cobra 3?)                                                                                                                            | arcade   |
| 13220 | c3_rtime                        | Radio Times (Bellfruit) (Cobra 3)                                                                                                                                      | arcade   |
| 13221 | c3_telly                        | Telly Addicts (Bellfruit) (Cobra 3)                                                                                                                                    | arcade   |
| 50467 | c3_tellyns                      | Telly Addicts (New Series) (Bellfruit) (Cobra 3)                                                                                                                       | arcade   |
| 13222 | c3_totp                         | Top of the Pops (Bellfruit) (Cobra 3?)                                                                                                                                 | arcade   |
| 31335 | c3040                           | Commodore 3040 disk drive                                                                                                                                              | mess     |
| 31336 | c352                            | Namco C352                                                                                                                                                             | arcade   |
| 31337 | c386sx16                        | 386SX-16                                                                                                                                                               | mess     |
| 43982 | c386sx25                        | 386SX-25                                                                                                                                                               | mess     |
| 40649 | c386sxlt                        | Laptop C386SX-LT                                                                                                                                                       | mess     |
| 35348 | c4023                           | Commodore 4023 Printer                                                                                                                                                 | mess     |
| 31338 | c4040                           | Commodore 4040 disk drive                                                                                                                                              | mess     |
| 37649 | c4i                             | C4I CAMMU                                                                                                                                                              | mess     |
| 37487 | c4t                             | C4E/C4T CAMMU                                                                                                                                                          | mess     |
| 38780 | c5000                           | C5000                                                                                                                                                                  | mess     |
| 31339 | c6280                           | Hudson Soft HuC6280 PSG                                                                                                                                                | mess     |
| 31340 | c64                             | Commodore 64 (NTSC)                                                                                                                                                    | mess     |
| 31341 | c64_16kb                        | C64 16KB EPROM cartridge                                                                                                                                               | mess     |
| 31342 | c64_1700reu                     | 1700 RAM Expansion Unit                                                                                                                                                | mess     |
| 31343 | c64_1750reu                     | 1750 RAM Expansion Unit                                                                                                                                                | mess     |
| 31344 | c64_1764reu                     | 1764 RAM Expansion Unit                                                                                                                                                | mess     |
| 31345 | c64_4cga                        | C64 Protovision 4 Player Interface                                                                                                                                     | mess     |
| 31346 | c64_4dxh                        | C64 DXH 4-Player Adapter                                                                                                                                               | mess     |
| 31347 | c64_4ksa                        | C64 Kingsoft 4-Player Adapter                                                                                                                                          | mess     |
| 31348 | c64_4tba                        | C64 Tie Break Adapter                                                                                                                                                  | mess     |
| 50873 | c64_ar4x                        | C64 Action Replay                                                                                                                                                      | mess     |
| 31349 | c64_bn1541                      | C64 Burst Nibbler 1541/1571 Parallel Cable                                                                                                                             | mess     |
| 40650 | c64_buscard                     | C64 BusCard cartridge                                                                                                                                                  | mess     |
| 40651 | c64_buscard2                    | C64 BusCard II cartridge                                                                                                                                               | mess     |
| 31350 | c64_comal80                     | C64 COMAL 80 cartridge                                                                                                                                                 | mess     |
| 31351 | c64_cpm                         | C64 CP/M cartridge                                                                                                                                                     | mess     |
| 31352 | c64_cspeech                     | C64 Currah Speech                                                                                                                                                      | mess     |
| 31748 | c64_dela_ep256                  | C64 Dela 256KB EPROM cartridge                                                                                                                                         | mess     |
| 31353 | c64_dela_ep64                   | C64 Rex 64KB EPROM cartridge                                                                                                                                           | mess     |
| 31354 | c64_dela_ep7x8                  | C64 Dela 7x8KB EPROM cartridge                                                                                                                                         | mess     |
| 31355 | c64_dinamic                     | C64 Dinamic cartridge                                                                                                                                                  | mess     |
| 31356 | c64_dqbb                        | C64 Double Quick Brown Box cartridge                                                                                                                                   | mess     |
| 31357 | c64_easy_calc_result            | C64 Easy Calc Result cartridge                                                                                                                                         | mess     |
| 31358 | c64_easyflash                   | C64 EasyFlash cartridge                                                                                                                                                | mess     |
| 31359 | c64_epyx_fast_load              | C64 Epyx Fast Load cartridge                                                                                                                                           | mess     |
| 31360 | c64_exos                        | C64 ExOS cartridge                                                                                                                                                     | mess     |
| 31361 | c64_expansion_slot              | C64 expansion port                                                                                                                                                     | mess     |
| 31362 | c64_fcc                         | C64 Final ChessCard                                                                                                                                                    | mess     |
| 31363 | c64_final                       | C64 Final Cartridge                                                                                                                                                    | mess     |
| 31364 | c64_final3                      | C64 Final Cartridge III                                                                                                                                                | mess     |
| 31365 | c64_fun_play                    | C64 Fun Play cartridge                                                                                                                                                 | mess     |
| 31366 | c64_geocable                    | C64 geoCable                                                                                                                                                           | mess     |
| 31367 | c64_georam                      | C64 GeoRAM cartridge                                                                                                                                                   | mess     |
| 31368 | c64_ide64                       | C64 IDE64 cartridge                                                                                                                                                    | mess     |
| 31369 | c64_ieee488                     | C64 IEEE-488 cartridge                                                                                                                                                 | mess     |
| 31370 | c64_jp                          | Commodore 64 (Japan)                                                                                                                                                   | mess     |
| 31371 | c64_kingsoft                    | C64 Kingsoft cartridge                                                                                                                                                 | mess     |
| 31372 | c64_mach5                       | C64 MACH5 cartridge                                                                                                                                                    | mess     |
| 31373 | c64_magic_desk                  | C64 Magic Desk cartridge                                                                                                                                               | mess     |
| 31374 | c64_magic_formel                | C64 Magic Formel cartridge                                                                                                                                             | mess     |
| 31375 | c64_magic_voice                 | C64 Magic Voice cartridge                                                                                                                                              | mess     |
| 31376 | c64_midimap                     | C64 Maplin MIDI                                                                                                                                                        | mess     |
| 31377 | c64_midins                      | C64 Namesoft MIDI                                                                                                                                                      | mess     |
| 31378 | c64_midipp                      | C64 Passport MIDI                                                                                                                                                      | mess     |
| 31379 | c64_midisci                     | C64 Sequential Circuits MIDI                                                                                                                                           | mess     |
| 31380 | c64_midisiel                    | C64 Siel MIDI                                                                                                                                                          | mess     |
| 31381 | c64_mikro_assembler             | C64 Mikro Assembler cartridge                                                                                                                                          | mess     |
| 31382 | c64_mscr                        | C64 Multiscreen cartridge                                                                                                                                              | mess     |
| 31383 | c64_music64                     | C64 Music 64 cartridge                                                                                                                                                 | mess     |
| 31384 | c64_neoram                      | C64 NeoRAM cartridge                                                                                                                                                   | mess     |
| 31385 | c64_nl10                        | Star NL-10 C64 Interface Cartridge                                                                                                                                     | mess     |
| 31386 | c64_ocean                       | C64 Ocean cartridge                                                                                                                                                    | mess     |
| 31387 | c64_pagefox                     | C64 Pagefox cartridge                                                                                                                                                  | mess     |
| 31388 | c64_partner                     | C64 PARTNER 64 cartridge                                                                                                                                               | mess     |
| 31389 | c64_prophet64                   | PROPHET64                                                                                                                                                              | mess     |
| 31390 | c64_ps64                        | C64 PS-64                                                                                                                                                              | mess     |
| 31391 | c64_rex                         | C64 Rex cartridge                                                                                                                                                      | mess     |
| 34124 | c64_rex_ep256                   | C64 Rex 256KB EPROM cartridge                                                                                                                                          | mess     |
| 31392 | c64_ross                        | C64 Ross cartridge                                                                                                                                                     | mess     |
| 31393 | c64_se                          | Commodore 64 / VIC-64S (Sweden/Finland)                                                                                                                                | mess     |
| 31394 | c64_sfxse                       | C64 SFX Sound Expander cartridge                                                                                                                                       | mess     |
| 31395 | c64_silverrock                  | C64 SilverRock cartridge                                                                                                                                               | mess     |
| 31396 | c64_simons_basic                | C64 Simons' BASIC                                                                                                                                                      | mess     |
| 37488 | c64_speakeasy                   | PPP Speakeasy 64                                                                                                                                                       | mess     |
| 31397 | c64_standard                    | C64 standard cartridge                                                                                                                                                 | mess     |
| 31398 | c64_stardos                     | C64 StarDOS cartridge                                                                                                                                                  | mess     |
| 31399 | c64_structured_basic            | C64 Structured Basic cartridge                                                                                                                                         | mess     |
| 31400 | c64_super_explode               | C64 Super Explode! cartridge                                                                                                                                           | mess     |
| 31401 | c64_super_games                 | C64 Super Games cartridge                                                                                                                                              | mess     |
| 31402 | c64_supercpu                    | C64 SuperCPU v2 + SuperRAM                                                                                                                                             | mess     |
| 31403 | c64_sw8k                        | C64 Switchable 8K cartridge                                                                                                                                            | mess     |
| 31404 | c64_swiftlink                   | C64 SwiftLink cartridge                                                                                                                                                | mess     |
| 31405 | c64_system3                     | C64 System 3 cartridge                                                                                                                                                 | mess     |
| 31406 | c64_tdos                        | C64 TDOS cartridge                                                                                                                                                     | mess     |
| 46686 | c64_tibdd001                    | C64 TIB Disc Drive DD-001 cartridge                                                                                                                                    | mess     |
| 31407 | c64_turbo232                    | C64 Turbo232 cartridge                                                                                                                                                 | mess     |
| 31408 | c64_vizastar                    | VizaStar 64 XL4                                                                                                                                                        | mess     |
| 31409 | c64_vizawrite                   | VizaWrite 64                                                                                                                                                           | mess     |
| 31410 | c64_warp_speed                  | C64 Warp Speed cartridge                                                                                                                                               | mess     |
| 31411 | c64_westermann                  | C64 Westermann cartridge                                                                                                                                               | mess     |
| 31412 | c64_xl80                        | C64 XL 80 cartridge                                                                                                                                                    | mess     |
| 44992 | c64_z80videopak                 | Data20 Z80 Video Pak                                                                                                                                                   | mess     |
| 31413 | c64_zaxxon                      | C64 Zaxxon cartridge                                                                                                                                                   | mess     |
| 31414 | c64c                            | Commodore 64C (NTSC)                                                                                                                                                   | mess     |
| 31415 | c64c_es                         | Commodore 64C (Spain)                                                                                                                                                  | mess     |
| 31416 | c64c_se                         | Commodore 64C (Sweden/Finland)                                                                                                                                         | mess     |
| 31417 | c64cp                           | Commodore 64C (PAL)                                                                                                                                                    | mess     |
| 31418 | c64dtv                          | Commodore 64 Direct-to-TV (Version 2 050711) (PAL)                                                                                                                     | mess     |
| 31419 | c64dx                           | Commodore 64DX Development System (Prototype, PAL, German)                                                                                                             | mess     |
| 31420 | c64g                            | Commodore 64G (PAL)                                                                                                                                                    | mess     |
| 31421 | c64gs                           | Commodore 64 Games System (PAL)                                                                                                                                        | mess     |
| 31422 | c64h156                         | Commodore 64H156                                                                                                                                                       | mess     |
| 31423 | c64p                            | Commodore 64 (PAL)                                                                                                                                                     | mess     |
| 31424 | c65                             | Commodore 65 Development System (Prototype, NTSC)                                                                                                                      | mess     |
| 28843 | c6545_1                         | C6545-1 CRTC                                                                                                                                                           | mess     |
| 31425 | c80                             | C-80                                                                                                                                                                   | mess     |
| 31426 | c8002                           | C8002                                                                                                                                                                  | mess     |
| 31427 | c8050                           | Commodore 8050 disk drive                                                                                                                                              | mess     |
| 31428 | c8050fdc                        | Commodore 8050 FDC                                                                                                                                                     | mess     |
| 31429 | c8095_90                        | Intel C8095-90                                                                                                                                                         | mess     |
| 31430 | c8250                           | Commodore 8250 disk drive                                                                                                                                              | mess     |
| 31431 | c8250lp                         | Commodore 8250LP disk drive                                                                                                                                            | mess     |
| 31432 | c8280                           | Commodore 8280 dual 8" disk drive                                                                                                                                      | mess     |
| 31433 | c900                            | Commodore 900                                                                                                                                                          | mess     |
| 50268 | ca3280_vca                      | CA3280-based VCA                                                                                                                                                       | mess     |
| 50269 | ca3280_vca_lin                  | Linearized CA3280-based VCA                                                                                                                                            | mess     |
|  1266 | cabal                           | Cabal (World, Joystick)                                                                                                                                                | arcade   |
|  6824 | cabala                          | Cabal (Korea?, Joystick)                                                                                                                                               | arcade   |
|  1267 | cabalbl                         | Cabal (bootleg of Joystick version, set 1, alternate sound hardware)                                                                                                   | arcade   |
|  8056 | cabalbl2                        | Cabal (bootleg of Joystick version, set 2)                                                                                                                             | arcade   |
| 48032 | cabalm                          | Cabal (Modular System)                                                                                                                                                 | arcade   |
| 36195 | cabaluk                         | Cabal (UK, Trackball)                                                                                                                                                  | arcade   |
| 38679 | cabalukj                        | Cabal (UK, Joystick)                                                                                                                                                   | arcade   |
|  6825 | cabalus                         | Cabal (US set 1, Trackball)                                                                                                                                            | arcade   |
|  1268 | cabalus2                        | Cabal (US set 2, Trackball)                                                                                                                                            | arcade   |
|  4204 | cabaret                         | Cabaret Show                                                                                                                                                           | arcade   |
|  1650 | cachat                          | Cachat (Japan)                                                                                                                                                         | arcade   |
|  9307 | cactjack                        | Cactus Jack's                                                                                                                                                          | arcade   |
|  8156 | cactus                          | Cactus (bootleg of Saboten Bombers)                                                                                                                                    | arcade   |
| 36310 | cactusco                        | Cactus Corral (10237711, NSW/ACT)                                                                                                                                      | arcade   |
| 39124 | cadabc                          | CAD ABC Mouse/Hi-res Unit                                                                                                                                              | mess     |
| 26515 | cadanglr                        | Angler Dangler (DECO Cassette) (US)                                                                                                                                    | arcade   |
|  2438 | cadash                          | Cadash (World)                                                                                                                                                         | arcade   |
|  2439 | cadashf                         | Cadash (France)                                                                                                                                                        | arcade   |
|  8347 | cadashg                         | Cadash (Germany, rev 1)                                                                                                                                                | arcade   |
| 43812 | cadashgo                        | Cadash (Germany)                                                                                                                                                       | arcade   |
|  2440 | cadashi                         | Cadash (Italy)                                                                                                                                                         | arcade   |
| 30465 | cadashj                         | Cadash (Japan, rev 2)                                                                                                                                                  | arcade   |
|  2441 | cadashj1                        | Cadash (Japan, rev 1)                                                                                                                                                  | arcade   |
| 30466 | cadashjo                        | Cadash (Japan)                                                                                                                                                         | arcade   |
| 29465 | cadashp                         | Cadash (World, prototype)                                                                                                                                              | arcade   |
| 39020 | cadashs                         | Cadash (Spain, rev 1)                                                                                                                                                  | arcade   |
| 48630 | cadashso                        | Cadash (Spain)                                                                                                                                                         | arcade   |
|  2442 | cadashu                         | Cadash (US, rev 2)                                                                                                                                                     | arcade   |
| 43330 | cadashu1                        | Cadash (US, rev 1?)                                                                                                                                                    | arcade   |
| 40556 | cadd810                         | 810                                                                                                                                                                    | mess     |
|  7447 | cafebrk                         | Mahjong Cafe Break (Ver. 1.01J)                                                                                                                                        | arcade   |
|  6783 | cafedoll                        | Mahjong Cafe Doll (Japan, Ver. 1.00)                                                                                                                                   | arcade   |
| 46935 | cafedollg                       | Mahjong Cafe Doll Great (Japan, Ver. 1.00)                                                                                                                             | arcade   |
| 30345 | cafepara                        | Mahjong Cafe Paradise (Ver. 1.00)                                                                                                                                      | arcade   |
|  6747 | cafetime                        | Mahjong Cafe Time                                                                                                                                                      | arcade   |
|  3504 | cairblad                        | Change Air Blade (Japan)                                                                                                                                               | arcade   |
|  7912 | calchase                        | California Chase                                                                                                                                                       | arcade   |
| 46368 | calchase_jamma_if               | ISA16 AUSCOM System 1 custom JAMMA I/F                                                                                                                                 | mess     |
| 38917 | calcune                         | Calcune (Japan, prototype)                                                                                                                                             | arcade   |
|  2177 | calibr50                        | Caliber 50 (Ver. 1.01)                                                                                                                                                 | arcade   |
|   645 | calipso                         | Calipso                                                                                                                                                                | arcade   |
| 36311 | callwld                         | Call of the Wild (10256611, NSW/ACT)                                                                                                                                   | arcade   |
|  5567 | calorie                         | Calorie Kun vs Moguranian                                                                                                                                              | arcade   |
|  5568 | calorieb                        | Calorie Kun vs Moguranian (bootleg)                                                                                                                                    | arcade   |
|  5920 | calspeed                        | California Speed (Version 2.1a Apr 17 1998, GUTS 1.25 Apr 17 1998 / MAIN Apr 17 1998)                                                                                  | arcade   |
| 35349 | calspeeda                       | California Speed (Version 1.0r8 Mar 10 1998, GUTS Mar 10 1998 / MAIN Mar 10 1998)                                                                                      | arcade   |
|  4646 | calspeedb                       | California Speed (Version 1.0r7a Mar 4 1998, GUTS Mar 3 1998 / MAIN Jan 19 1998)                                                                                       | arcade   |
| 36312 | calyking                        | Calypso King (20197111, NSW/ACT)                                                                                                                                       | arcade   |
| 43895 | cambrp                          | Cambridge Programmable                                                                                                                                                 | mess     |
| 48542 | cameltry                        | Cameltry (World, YM2610)                                                                                                                                               | arcade   |
|  6644 | cameltrya                       | Cameltry (World, YM2203 + M6295)                                                                                                                                       | arcade   |
|  3034 | cameltryau                      | Cameltry (US, YM2203 + M6295)                                                                                                                                          | arcade   |
|  2179 | cameltryj                       | Cameltry (Japan, YM2610)                                                                                                                                               | arcade   |
|  2178 | cameltryu                       | Cameltry (US, YM2610)                                                                                                                                                  | arcade   |
| 48631 | camirf1                         | CAMIR-F1                                                                                                                                                               | mess     |
|  9308 | camlight                        | Camel Lights                                                                                                                                                           | arcade   |
| 37215 | can09                           | Candela CAN09 v1                                                                                                                                                       | mess     |
| 37216 | can09t                          | Candela CAN09                                                                                                                                                          | mess     |
| 36313 | canaryrc                        | Canary Riches (10218211, NSW/ACT)                                                                                                                                      | arcade   |
|  9309 | canasta                         | Canasta '86'                                                                                                                                                           | arcade   |
|  5729 | candance                        | Cannon Dancer (Japan)                                                                                                                                                  | arcade   |
| 30346 | candory                         | Candory (Ponpoko bootleg with Mario)                                                                                                                                   | arcade   |
| 14150 | candy                           | Candy Candy                                                                                                                                                            | arcade   |
| 41423 | cane                            | Cane (prototype)                                                                                                                                                       | arcade   |
| 41424 | cane_audio                      | Model Racing Cane Audio                                                                                                                                                | arcade   |
|  2683 | cannball                        | Cannon Ball (Yun Sung, horizontal)                                                                                                                                     | arcade   |
|  7524 | cannballv                       | Cannon Ball (Yun Sung, vertical)                                                                                                                                       | arcade   |
|  3863 | cannonb                         | Cannon Ball (bootleg on Crazy Kong hardware) (set 1, buggy)                                                                                                            | arcade   |
|  5730 | cannonb2                        | Cannon Ball (bootleg on Crazy Kong hardware) (set 2, buggy)                                                                                                            | arcade   |
|  8461 | cannonb3                        | Cannon Ball (bootleg on Crazy Kong hardware) (set 3, no bonus game)                                                                                                    | arcade   |
|  6826 | cannonbp                        | Cannon Ball (Pac-Man Hardware)                                                                                                                                         | arcade   |
| 35504 | canons80                        | S-80 (Canon) (electronic typewriter)                                                                                                                                   | mess     |
| 43813 | canonts3                        | Typestar 3                                                                                                                                                             | mess     |
| 31434 | canonv10                        | V-10 (MSX1, Japan)                                                                                                                                                     | mess     |
| 31435 | canonv20                        | V-20 (MSX1, Japan)                                                                                                                                                     | mess     |
| 31436 | canonv20e                       | V-20E (MSX1, UK)                                                                                                                                                       | mess     |
| 31437 | canonv20f                       | V-20F (MSX1, France)                                                                                                                                                   | mess     |
| 31438 | canonv20g                       | V-20G (MSX1, Germany)                                                                                                                                                  | mess     |
| 31439 | canonv20s                       | V-20S (MSX1, Spain)                                                                                                                                                    | mess     |
| 31440 | canonv25                        | V-25 (MSX2, Japan)                                                                                                                                                     | mess     |
